imie,plec,rok,miesiac,liczba
Aleksander,M,2013,9,9
Aleksander,M,2013,8,13
Aleksander,M,2013,7,14
Aleksander,M,2013,6,11
Aleksander,M,2013,5,17
Aleksander,M,2013,4,16
Aleksander,M,2013,3,11
Aleksander,M,2013,2,11
Aleksander,M,2013,1,15
Aleksander,M,2012,12,14
Aleksander,M,2012,11,12
Aleksander,M,2012,10,20
Aleksander,M,2012,9,13
Aleksander,M,2012,8,13
Aleksander,M,2012,7,14
Aleksander,M,2012,6,18
Aleksander,M,2012,5,15
Aleksander,M,2012,4,15
Aleksander,M,2012,3,5
Aleksander,M,2012,2,13
Aleksander,M,2012,1,18
Aleksander,M,2011,12,12
Aleksander,M,2011,11,10
Aleksander,M,2011,10,15
Aleksander,M,2011,9,5
Aleksander,M,2011,8,10
Aleksander,M,2011,7,15
Aleksander,M,2011,6,15
Aleksander,M,2011,5,8
Aleksander,M,2011,4,4
Aleksander,M,2011,3,7
Aleksander,M,2011,2,9
Aleksander,M,2011,1,13
Aleksander,M,2010,12,14
Aleksander,M,2010,11,14
Aleksander,M,2010,10,10
Aleksander,M,2010,9,12
Aleksander,M,2010,8,6
Aleksander,M,2010,7,11
Aleksander,M,2010,6,15
Aleksander,M,2010,5,9
Aleksander,M,2010,4,7
Aleksander,M,2010,3,6
Aleksander,M,2010,2,6
Aleksander,M,2010,1,8
Aleksander,M,2009,12,13
Aleksander,M,2009,11,9
Aleksander,M,2009,10,10
Aleksander,M,2009,9,14
Aleksander,M,2009,8,7
Aleksander,M,2009,7,18
Aleksander,M,2009,6,5
Aleksander,M,2009,5,12
Aleksander,M,2009,4,8
Aleksander,M,2009,3,13
Aleksander,M,2009,2,7
Aleksander,M,2009,1,3
Aleksander,M,2008,12,10
Aleksander,M,2008,11,14
Aleksander,M,2008,10,9
Aleksander,M,2008,9,18
Aleksander,M,2008,8,13
Aleksander,M,2008,7,14
Aleksander,M,2008,6,14
Aleksander,M,2008,5,8
Aleksander,M,2008,4,11
Aleksander,M,2008,3,16
Aleksander,M,2008,2,15
Aleksander,M,2008,1,15
Aleksander,M,2007,12,9
Aleksander,M,2007,11,8
Aleksander,M,2007,10,8
Aleksander,M,2007,9,10
Aleksander,M,2007,8,13
Aleksander,M,2007,7,16
Aleksander,M,2007,6,10
Aleksander,M,2007,5,5
Aleksander,M,2007,4,9
Aleksander,M,2007,3,13
Aleksander,M,2007,2,13
Aleksander,M,2007,1,5
Aleksander,M,2006,12,13
Aleksander,M,2006,11,12
Aleksander,M,2006,10,21
Aleksander,M,2006,9,9
Aleksander,M,2006,8,12
Aleksander,M,2006,7,12
Aleksander,M,2006,6,12
Aleksander,M,2006,5,21
Aleksander,M,2006,4,14
Aleksander,M,2006,3,16
Aleksander,M,2006,2,8
Aleksander,M,2006,1,10
Aleksander,M,2005,12,17
Aleksander,M,2005,11,16
Aleksander,M,2005,10,6
Aleksander,M,2005,9,9
Aleksander,M,2005,8,10
Aleksander,M,2005,7,9
Aleksander,M,2005,6,12
Aleksander,M,2005,5,5
Aleksander,M,2005,4,12
Aleksander,M,2005,3,15
Aleksander,M,2005,2,7
Aleksander,M,2005,1,15
Aleksander,M,2004,12,4
Aleksander,M,2004,11,4
Aleksander,M,2004,10,9
Aleksander,M,2004,9,11
Aleksander,M,2004,8,4
Aleksander,M,2004,7,5
Aleksy,M,2016,5,0
Aleksy,M,2016,4,0
Aleksy,M,2016,3,0
Aleksy,M,2016,2,0
Aleksy,M,2016,1,0
Aleksy,M,2015,12,1
Aleksy,M,2015,11,0
Aleksy,M,2015,10,0
Aleksy,M,2015,9,0
Aleksy,M,2015,8,0
Aleksy,M,2015,7,1
Aleksy,M,2015,6,0
